Protein,KBase_derived_bin.038.fastaCALY_dastool_bins.RAST.proteins
K00134,NODE_423_length_33584_cov_12.833607_35
K00873,NODE_9892_length_5869_cov_14.577743_5
K01689,NODE_78_length_68787_cov_12.912719_53
K01803,NODE_4227_length_9622_cov_12.010034_5
K01810,NODE_159_length_53152_cov_12.380681_39
K15633,NODE_22_length_111760_cov_12.683461_93
K01610,NODE_692_length_26624_cov_12.151944_10
K03841,NODE_423_length_33584_cov_12.833607_32
K11532,NODE_3206_length_11302_cov_13.586734_9
K00161,NODE_78_length_68787_cov_12.912719_61
K00162,NODE_78_length_68787_cov_12.912719_62
K00382,NODE_611_length_28199_cov_12.696063_17
K00627,NODE_78_length_68787_cov_12.912719_63
K00024,NODE_43_length_89750_cov_12.895769_29
K00031,NODE_3622_length_10540_cov_12.964711_6
K00164,NODE_27070_length_3349_cov_12.140862_1
K00239,NODE_255_length_42279_cov_13.076378_3
K00240,NODE_255_length_42279_cov_13.076378_1
K00241,NODE_255_length_42279_cov_13.076378_5
K00242,NODE_255_length_42279_cov_13.076378_4
K00658,NODE_27070_length_3349_cov_12.140862_2
K01647,NODE_763_length_25222_cov_13.334207_15
K01679,NODE_524_length_30560_cov_12.534896_32
K01681,NODE_1179_length_19839_cov_13.082036_21
K00033,NODE_692_length_26624_cov_12.151944_24
K00036,NODE_159_length_53152_cov_12.380681_41
K00615,NODE_423_length_33584_cov_12.833607_34
K00616,NODE_1342_length_18467_cov_13.149522_9
K01057,NODE_159_length_53152_cov_12.380681_40
K01783,NODE_13338_length_4961_cov_12.469629_7
K01807,NODE_935_length_22665_cov_14.928793_4
K00948,NODE_3756_length_10317_cov_14.222276_4
K01784,NODE_2474_length_13098_cov_11.262670_6.NODE_5607_length_8167_cov_12.509369_8
K00963,NODE_2046_length_14637_cov_11.605678_16
K15778,NODE_662_length_27139_cov_13.510338_25
K03431,NODE_7650_length_6809_cov_12.391768_4
K00023,NODE_5986_length_7867_cov_11.947645_9
K00626,NODE_25725_length_3448_cov_12.871500_5.NODE_2983_length_11820_cov_14.906757_3.NODE_5986_length_7867_cov_11.947645_8
K01847,NODE_1045_length_21283_cov_12.535048_22
K01965,NODE_1045_length_21283_cov_12.535048_19
K01966,NODE_1045_length_21283_cov_12.535048_13
K05606,NODE_14617_length_4715_cov_15.281330_4
K08691,NODE_3243_length_11231_cov_14.699177_11
K14446,NODE_43_length_89750_cov_12.895769_79
K14447,NODE_43_length_89750_cov_12.895769_77
K14448,NODE_692_length_26624_cov_12.151944_13
K14449,NODE_255_length_42279_cov_13.076378_6
K14451,NODE_255_length_42279_cov_13.076378_8
K17865,NODE_3756_length_10317_cov_14.222276_9
K00261,NODE_3206_length_11302_cov_13.586734_1
K00281,NODE_6103_length_7782_cov_14.291834_4
K00600,NODE_22_length_111760_cov_12.683461_11
K00605,NODE_6103_length_7782_cov_14.291834_2
K01601,NODE_395_length_34523_cov_13.733550_13
K01602,NODE_395_length_34523_cov_13.733550_12
K02437,NODE_6103_length_7782_cov_14.291834_3
K00140,NODE_611_length_28199_cov_12.696063_8
K01092,NODE_1040_length_21390_cov_14.090930_12
K00855,NODE_423_length_33584_cov_12.833607_33
K00029,NODE_2006_length_14758_cov_14.224988_10
K01006,NODE_29531_length_3196_cov_14.142948_1
K01958,NODE_680_length_26868_cov_13.779585_7
K01961,NODE_423_length_33584_cov_12.833607_21
K01962,NODE_3243_length_11231_cov_14.699177_9
K01963,NODE_22_length_111760_cov_12.683461_100
K02160,NODE_423_length_33584_cov_12.833607_20
K00297,NODE_1483_length_17433_cov_13.942744_6
K01491,NODE_2661_length_12612_cov_13.072947_1
K01938,NODE_2661_length_12612_cov_13.072947_2
K01895,NODE_423_length_33584_cov_12.833607_16
K14083,NODE_1673_length_16334_cov_12.901038_1
K00362,NODE_19288_length_4040_cov_16.853952_2
K00363,NODE_19288_length_4040_cov_16.853952_3
K00370,NODE_1742_length_15916_cov_11.541958_9
K00371,NODE_1742_length_15916_cov_11.541958_10
K00374,NODE_1742_length_15916_cov_11.541958_12
K00380,NODE_22_length_111760_cov_12.683461_2.NODE_7717_length_6774_cov_12.194969_4
K00958,NODE_1139_length_20239_cov_12.211306_5
K17222,NODE_3811_length_10248_cov_13.104091_9
K17223,NODE_3811_length_10248_cov_13.104091_11
K17224,NODE_3811_length_10248_cov_13.104091_8
K17225,NODE_3811_length_10248_cov_13.104091_7
K22622,NODE_3811_length_10248_cov_13.104091_6
K00330,NODE_159_length_53152_cov_12.380681_34
K00331,NODE_159_length_53152_cov_12.380681_33
K00332,NODE_159_length_53152_cov_12.380681_32
K00333,NODE_159_length_53152_cov_12.380681_31
K00334,NODE_159_length_53152_cov_12.380681_30
K00335,NODE_159_length_53152_cov_12.380681_26
K00336,NODE_159_length_53152_cov_12.380681_24
K00337,NODE_159_length_53152_cov_12.380681_22
K00338,NODE_159_length_53152_cov_12.380681_21
K00339,NODE_159_length_53152_cov_12.380681_20
K00340,NODE_159_length_53152_cov_12.380681_19
K00341,NODE_159_length_53152_cov_12.380681_18
K00342,NODE_159_length_53152_cov_12.380681_17
K00343,NODE_159_length_53152_cov_12.380681_16
K00411,NODE_967_length_22211_cov_10.097897_17
K00412,NODE_967_length_22211_cov_10.097897_16
K00413,NODE_967_length_22211_cov_10.097897_15
K02259,NODE_2270_length_13748_cov_12.866063_7
K00424,NODE_4717_length_9013_cov_12.084505_6
K00425,NODE_4717_length_9013_cov_12.084505_4
K00426,NODE_4717_length_9013_cov_12.084505_5
K00404,NODE_3139_length_11445_cov_12.219403_7
K00405,NODE_3139_length_11445_cov_12.219403_8
K00406,NODE_3139_length_11445_cov_12.219403_10
K00407,NODE_3139_length_11445_cov_12.219403_9
K02108,NODE_43_length_89750_cov_12.895769_51
K02109,NODE_43_length_89750_cov_12.895769_48.NODE_43_length_89750_cov_12.895769_49
K02110,NODE_43_length_89750_cov_12.895769_50
K02111,NODE_19294_length_4039_cov_14.601908_3
K02112,NODE_19294_length_4039_cov_14.601908_5.NODE_3756_length_10317_cov_14.222276_1
K02113,NODE_19294_length_4039_cov_14.601908_2
K02114,NODE_3756_length_10317_cov_14.222276_2
K02115,NODE_19294_length_4039_cov_14.601908_4
K00645,NODE_399_length_34469_cov_14.249346_17
K00648,NODE_4700_length_9031_cov_12.135027_3
K00059,NODE_2549_length_12904_cov_11.618959_3.NODE_399_length_34469_cov_14.249346_16
