Protein,BinSanityLC-kmean-bin_55-bin_4-refined_9.proteins
K00134,c_000000788994_32
K00873,c_000000627071_17
K00927,c_000000004006_9.c_000000788994_33
K01624,c_000000004006_8
K01689,c_000002331499_45
K01803,c_000003306104_1.c_000004238247_7
K01810,c_000000351996_18
K15633,c_000002835133_10
K01610,c_000002562237_17.c_000003865154_5
K03841,c_000000788994_29.c_000002187767_3
K11532,c_000000807999_27
K00161,c_000001997686_2
K00162,c_000001997686_3
K00382,c_000001927292_23.c_000002444028_3
K00627,c_000000656287_4.c_000001997686_4
K00024,c_000001000322_2.c_000003206731_1
K00031,c_000001110072_6.c_000001890318_5
K00164,c_000004313248_2
K00177,c_000001802533_5
K00239,c_000001771694_4.c_000003206731_9
K00240,c_000001771694_2
K00241,c_000001771694_6.c_000003206731_7
K00242,c_000001771694_5.c_000003206731_8
K00658,c_000002444028_1.c_000004313248_1
K01647,c_000001461981_16
K01679,c_000000443881_30.c_000004657392_1
K01681,c_000000909449_4.c_000002260264_21
K01902,c_000004313248_3
K00033,c_000002562237_4
K00036,c_000000351996_16.c_000002557436_1
K00615,c_000000788994_31.c_000002187767_1
K00616,c_000005285840_8
K01057,c_000000351996_17
K01783,c_000000004006_7
K01807,c_000002455472_3
K00948,c_000000499052_6
K00012,c_000001007037_1.c_000005559024_3
K01784,c_000001391997_6.c_000002972619_9
K00963,c_000002328620_2
K00700,c_000000345747_1
K00688,c_000000345747_2
K15778,c_000002303167_44
K00820,c_000002072157_3
K03431,c_000000062475_4.c_000002031518_3
K04042,c_000002072157_2
K00023,c_000002570284_9
K00626,c_000000383573_3.c_000001150656_20.c_000002570284_8
K01847,c_000001021136_3.c_000003056341_2
K01965,c_000001021136_6.c_000003056341_4
K01966,c_000001021136_11
K05606,c_000002252868_5
K08691,c_000000627071_11
K14446,c_000002708282_11
K14447,c_000002708282_13
K14448,c_000002562237_15
K14449,c_000001771694_7.c_000003206731_5
K14451,c_000001771694_9.c_000003206731_3
K17865,c_000000499052_10
K00261,c_000000807999_35
K00281,c_000003992104_4
K00600,c_000001296293_5.c_000002999135_4
K00605,c_000003992104_2
K01601,c_000002534345_24
K01602,c_000002534345_25
K02437,c_000003992104_3
K00140,c_000001927292_14
K01092,c_000000252400_12.c_000001803648_19.c_000003845819_5
K00855,c_000000788994_30.c_000002187767_2
K00029,c_000001702907_15
K01006,c_000002220683_2
K01958,c_000000807999_5
K01961,c_000000788994_20
K01962,c_000000627071_9
K01963,c_000000485391_3.c_000002835133_3
K02160,c_000000788994_19
K09709,c_000006285996_3
K00297,c_000000252400_14.c_000002668608_5.c_000005091519_1
K01491,c_000001642496_2
K01938,c_000001642496_3
K01895,c_000000788994_16.c_000002072157_5
K14083,c_000001463471_1.c_000004820868_3
K11529,c_000003848110_4
K00370,c_000005119021_8
K00371,c_000005119021_9
K00374,c_000005119021_11
K00958,c_000000179208_2
K17222,c_000001182820_14
K17223,c_000001182820_11
K17224,c_000001182820_15
K17225,c_000001182820_16
K17226,c_000001182820_12
K17227,c_000001182820_13
K22622,c_000001182820_17
K00330,c_000000351996_23
K00331,c_000000351996_24
K00332,c_000000351996_25
K00333,c_000000351996_26
