Protein,BinSanityLC-kmean-bin_93-bin_0-refined_16.proteins
K00134,c_000004435415_30.c_000004444133_37.c_000004444133_39
K00845,c_000002345421_52
K00873,c_000002454775_16
K00927,c_000000125218_17
K01623,c_000000125218_15
K01624,c_000004435415_29.c_000004967955_52
K01689,c_000000125218_26
K01803,c_000000125218_35
K01810,c_000000735240_20
K15633,c_000001957334_7
K01610,c_000001987684_4
K03841,c_000004435415_33
K11532,c_000004899922_94
K00161,c_000000125218_13
K00162,c_000000125218_11
K00382,c_000000677129_4.c_000005712339_26
K00627,c_000000125218_10
K00024,c_000004967955_97
K00031,c_000001449240_7
K00239,c_000004967955_86
K00240,c_000004967955_85
K00241,c_000004967955_88
K00242,c_000004967955_87
K00244,c_000002181411_187
K00245,c_000002181411_184
K00246,c_000002181411_185
K00247,c_000002181411_186
K01647,c_000000365649_7.c_000004444133_64
K01679,c_000002401645_27
K01681,c_000003544774_4
K01682,c_000002295288_26
K01902,c_000004967955_101
K01903,c_000004967955_99
K00033,c_000000647575_22
K00036,c_000000735240_18
K00615,c_000002181411_50.c_000002181411_51.c_000002181411_53.c_000004435415_31.c_000004444133_40
K00616,c_000001942209_48
K01057,c_000000735240_19
K01783,c_000002454775_1.c_000004435415_24.c_000006003901_1
K01807,c_000004899922_42
K00948,c_000002138326_19
K01625,c_000005899904_10
K01690,c_000005899904_11
K00874,c_000002181411_27
K00012,c_000003989100_173
K00854,c_000000125218_43.c_000002345421_65
K01685,c_000002181411_40
K01784,c_000001341879_5.c_000002442779_61.c_000004435415_4
K01785,c_000002714103_90
K00883,c_000000647575_18.c_000003505141_91
K01631,c_000003505141_90
K01684,c_000002181411_169
K00963,c_000002442779_62
K10046,c_000003505141_135
K03077,c_000003093506_105
K15778,c_000003093506_116
K00820,c_000006283225_43
K04042,c_000006283225_42
K01638,c_000003989100_21
K00023,c_000002454775_49
K00626,c_000002181411_152.c_000002295288_19.c_000002345866_57.c_000002454775_48.c_000003544774_29
K01847,c_000000647575_52
K01965,c_000000647575_55
K01966,c_000000647575_63
K05606,c_000002181411_104
K08691,c_000002454775_29
K14446,c_000002010879_26
K14447,c_000002010879_22
K14448,c_000001987684_2
K14449,c_000004967955_91
K14451,c_000004967955_94
K17865,c_000002138326_12
K00261,c_000004899922_86
K00281,c_000002181411_88
K00600,c_000000647575_34.c_000002181411_130
K00605,c_000002181411_90
K00830,c_000001942209_56.c_000003989100_18
K01601,c_000004435415_28
K01602,c_000004435415_27
K02437,c_000002181411_89
K00140,c_000004444133_31
K01092,c_000002177916_39.c_000002747260_12.c_000003505141_134
K00855,c_000004435415_32
K00029,c_000002181411_137
K01006,c_000000647575_116
K01007,c_000002181411_86.c_000002580807_14
K01958,c_000004967955_36
K01961,c_000000647575_96
K01962,c_000002454775_31
K01963,c_000005835655_14
K02160,c_000000647575_95
K09709,c_000001987684_59
K00297,c_000003505141_138.c_000006347615_11
K01491,c_000002177916_51
K01938,c_000001615714_28
K00625,c_000000365649_6
